,HYBAS_ID,NEXT_DOWN,MAIN_BAS
0,7090000010,0,7090000010
1,7090000060,0,7090000060
2,7090000070,0,7090000070
3,7090000090,0,7090000090
4,7090000100,0,7090000100
5,7090000110,0,7090000110
6,7090000120,0,7090000120
7,7090000140,0,7090000140
8,7090000150,0,7090000150
9,7090000160,0,7090000160
10,7090000170,0,7090000170
11,7090000180,0,7090000180
12,7090000190,0,7090000190
13,7090000210,0,7090000210
14,7090885910,7090000210,7090000210
15,7090885900,7090000210,7090000210
16,7090885830,7090885910,7090000210
17,7090885820,7090885910,7090000210
18,7090885850,7090885830,7090000210
19,7090885870,7090885830,7090000210
20,7090885720,7090885850,7090000210
21,7090885730,7090885850,7090000210
22,7090000220,0,7090000220
23,7090000240,0,7090000240
24,7090886210,7090000240,7090000240
25,7090886200,7090000240,7090000240
26,7090886170,7090886200,7090000240
27,7090886160,7090886200,7090000240
28,7090886110,7090886160,7090000240
29,7090886100,7090886160,7090000240
30,7090886090,7090886100,7090000240
31,7090886080,7090886100,7090000240
32,7090886050,7090886090,7090000240
33,7090886070,7090886090,7090000240
34,7090886030,7090886070,7090000240
35,7090886020,7090886070,7090000240
36,7090000250,0,7090000250
37,7090000270,0,7090000270
38,7090886340,7090000270,7090000270
39,7090886350,7090000270,7090000270
40,7090886390,7090886350,7090000270
41,7090886380,7090886350,7090000270
42,7090000280,0,7090000280
43,7090000300,0,7090000300
44,7090000310,0,7090000310
45,7090000360,0,7090000360
46,7090000370,0,7090000370
47,7090000400,0,7090000400
48,7090000410,0,7090000410
49,7090000450,0,7090000450
50,7090000460,0,7090000460
51,7090000470,0,7090000470
52,7090000480,0,7090000480
53,7090000490,0,7090000490
54,7090000500,0,7090000500
55,7090000510,0,7090000510
56,7090000520,0,7090000520
57,7090000560,0,7090000560
58,7090886270,7090000560,7090000560
59,7090886280,7090000560,7090000560
60,7090886220,7090886270,7090000560
61,7090886230,7090886270,7090000560
62,7090000570,0,7090000570
63,7090000590,0,7090000590
64,7090886330,7090000590,7090000590
65,7090886320,7090000590,7090000590
66,7090886240,7090886320,7090000590
67,7090886250,7090886320,7090000590
68,7090886130,7090886240,7090000590
69,7090886120,7090886240,7090000590
70,7090885970,7090886130,7090000590
71,7090885940,7090886130,7090000590
72,7090000600,0,7090000600
73,7090000610,0,7090000610
74,7090000620,0,7090000620
75,7090000690,0,7090000690
76,7090000700,0,7090000700
77,7090000730,0,7090000730
78,7090886040,7090000730,7090000730
79,7090886060,7090000730,7090000730
80,7090885960,7090886040,7090000730
81,7090885950,7090886040,7090000730
82,7090885710,7090885960,7090000730
83,7090885700,7090885960,7090000730
84,7090000740,0,7090000740
85,7090000760,0,7090000760
86,7090000770,0,7090000770
87,7090000780,0,7090000780
88,7090000790,0,7090000790
89,7090000800,0,7090000800
90,7090000810,0,7090000810
91,7090000820,0,7090000820
92,7090000830,0,7090000830
93,7090000850,0,7090000850
94,7090885780,7090000850,7090000850
95,7090885790,7090000850,7090000850
96,7090000860,0,7090000860
97,7090000870,0,7090000870
98,7090000880,0,7090000880
99,7090000890,0,7090000890
100,7090000900,0,7090000900
101,7090000921,0,7090000921
102,7090000922,7090000921,7090000921
103,7099083051,7090000922,7090000921
104,7090885761,7099083051,7090000921
105,7090885762,7090885761,7090000921
106,7090885771,7099083051,7090000921
107,7090885772,7090885771,7090000921
108,7090885691,7099083051,7090000921
109,7090885692,7090885691,7090000921
110,7090885681,7090885772,7090000921
111,7090885682,7090885681,7090000921
112,7090885650,7090885692,7090000921
113,7090885641,7090885692,7090000921
114,7090885642,7090885641,7090000921
115,7090885450,7090885642,7090000921
116,7090885441,7090885642,7090000921
117,7090885442,7090885441,7090000921
118,7090000930,0,7090000930
119,7090000950,0,7090000950
120,7090000960,0,7090000960
121,7090000970,0,7090000970
122,7090000980,0,7090000980
123,7090001000,0,7090001000
124,7090885810,7090001000,7090001000
125,7090885800,7090001000,7090001000
126,7090885670,7090885810,7090001000
127,7090885660,7090885810,7090001000
128,7090885330,7090885660,7090001000
129,7090885320,7090885660,7090001000
130,7090001010,0,7090001010
131,7090001050,0,7090001050
132,7090001060,0,7090001060
133,7090001080,0,7090001080
134,7090885570,7090001080,7090001080
135,7090885560,7090001080,7090001080
136,7090885550,7090885560,7090001080
137,7090885540,7090885560,7090001080
138,7090885490,7090885540,7090001080
139,7090885480,7090885540,7090001080
140,7090885500,7090885490,7090001080
141,7090885520,7090885490,7090001080
142,7090001090,0,7090001090
143,7090001110,0,7090001110
144,7090001120,0,7090001120
145,7090001130,0,7090001130
146,7090001140,0,7090001140
147,7090001150,0,7090001150
148,7090001160,0,7090001160
149,7090001170,0,7090001170
150,7090001180,0,7090001180
151,7090001190,0,7090001190
152,7090885240,7090001190,7090001190
153,7090885250,7090001190,7090001190
154,7090001200,0,7090001200
155,7090001221,0,7090001221
156,7090001222,7090001221,7090001221
157,7099008111,7090001222,7090001221
158,7090884982,7099008111,7090001221
159,7090884991,7099008111,7090001221
160,7090884992,7090884991,7090001221
161,7090884921,7099008111,7090001221
162,7090884922,7090884921,7090001221
163,7090884972,7099008111,7090001221
164,7090884931,7099008111,7090001221
165,7090884932,7090884931,7090001221
166,7090885001,7090884972,7090001221
167,7090885002,7090885001,7090001221
168,7090885041,7099008111,7090001221
169,7090885042,7090885041,7090001221
170,7090885091,7090885042,7090001221
171,7090885092,7090885091,7090001221
172,7090885080,7090885042,7090001221
173,7090884821,7099008111,7090001221
174,7090884822,7090884821,7090001221
175,7090884801,7099008111,7090001221
176,7090884802,7090884801,7090001221
177,7090884831,7099008111,7090001221
178,7090884832,7090884831,7090001221
179,7090884731,7099008111,7090001221
180,7090884732,7090884731,7090001221
181,7099121272,7090884732,7090001221
182,7090884711,7090884802,7090001221
